File Directory	Function Name	Function Signature	Function Starting Line No	Function Ending Line No	Cyclomatic	Result
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	getOptionValues	org.apache.commons.cli.CommandLine.getOptionValues(String)	342	344	1	[{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2023","diff":"\"\""},{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2021","diff":"\"\""},{"authorEmail":"Krishna.Mohan@capitalone.com","authorName":"Krishna Mohan","commitYear":"2017","diff":"\"\""},{"authorEmail":"ggregory@apache.org","authorName":"Gary D. Gregory","commitYear":"2017","diff":"\"@@ -1,3 +1,3 @@\\n-public String[] getOptionValues(String opt) {\\r\\n+public String[] getOptionValues(final String opt) {\\r\\n     return getOptionValues(resolveOption(opt));\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"britter@apache.org","authorName":"Benedikt Ritter","commitYear":"2017","diff":"\"@@ -1,9 +1,3 @@\\n public String[] getOptionValues(String opt) {\\r\\n-    List<String> values = new ArrayList<String>();\\r\\n-    for (Option option : options) {\\r\\n-        if (opt.equals(option.getOpt()) || opt.equals(option.getLongOpt())) {\\r\\n-            values.addAll(option.getValuesList());\\r\\n-        }\\r\\n-    }\\r\\n-    return values.isEmpty() ? null : values.toArray(new String[values.size()]);\\r\\n+    return getOptionValues(resolveOption(opt));\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"ebourg@apache.org","authorName":"Emmanuel Bourg","commitYear":"2011","diff":"\"@@ -1,10 +1,9 @@\\n public String[] getOptionValues(String opt) {\\r\\n-    List values = new ArrayList();\\r\\n-    for (Iterator it = options.iterator(); it.hasNext(); ) {\\r\\n-        Option option = (Option) it.next();\\r\\n+    List<String> values = new ArrayList<String>();\\r\\n+    for (Option option : options) {\\r\\n         if (opt.equals(option.getOpt()) || opt.equals(option.getLongOpt())) {\\r\\n             values.addAll(option.getValuesList());\\r\\n         }\\r\\n     }\\r\\n-    return values.isEmpty() ? null : (String[]) values.toArray(new String[values.size()]);\\r\\n+    return values.isEmpty() ? null : values.toArray(new String[values.size()]);\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"ebourg@apache.org","authorName":"Emmanuel Bourg","commitYear":"2008","diff":"\"\""},{"authorEmail":"ebourg@apache.org","authorName":"Emmanuel Bourg","commitYear":"2008","diff":"\"@@ -1,7 +1,10 @@\\n public String[] getOptionValues(String opt) {\\r\\n-    Option key = resolveOption(opt);\\r\\n-    if (options.contains(key)) {\\r\\n-        return key.getValues();\\r\\n+    List values = new ArrayList();\\r\\n+    for (Iterator it = options.iterator(); it.hasNext(); ) {\\r\\n+        Option option = (Option) it.next();\\r\\n+        if (opt.equals(option.getOpt()) || opt.equals(option.getLongOpt())) {\\r\\n+            values.addAll(option.getValuesList());\\r\\n+        }\\r\\n     }\\r\\n-    return null;\\r\\n+    return values.isEmpty() ? null : (String[]) values.toArray(new String[values.size()]);\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"bayard@apache.org","authorName":"Henri Yandell","commitYear":"2007","diff":"\"@@ -1,11 +1,7 @@\\n public String[] getOptionValues(String opt) {\\r\\n-    opt = Util.stripLeadingHyphens(opt);\\r\\n-    String key = opt;\\r\\n-    if (names.containsKey(opt)) {\\r\\n-        key = (String) names.get(opt);\\r\\n-    }\\r\\n-    if (options.containsKey(key)) {\\r\\n-        return ((Option) options.get(key)).getValues();\\r\\n+    Option key = resolveOption(opt);\\r\\n+    if (options.contains(key)) {\\r\\n+        return key.getValues();\\r\\n     }\\r\\n     return null;\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"roxspring@apache.org","authorName":"Robert James Oxspring","commitYear":"2005","diff":"\"@@ -1,12 +1,11 @@\\n public String[] getOptionValues(String opt) {\\r\\n-    List values = new java.util.ArrayList();\\r\\n     opt = Util.stripLeadingHyphens(opt);\\r\\n     String key = opt;\\r\\n     if (names.containsKey(opt)) {\\r\\n         key = (String) names.get(opt);\\r\\n     }\\r\\n     if (options.containsKey(key)) {\\r\\n         return ((Option) options.get(key)).getValues();\\r\\n     }\\r\\n     return null;\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"roxspring@apache.org","authorName":"Robert James Oxspring","commitYear":"2004","diff":"\"\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"@@ -1,16 +1,12 @@\\n public String[] getOptionValues(String opt) {\\r\\n     List values = new java.util.ArrayList();\\r\\n+    opt = Util.stripLeadingHyphens(opt);\\r\\n     String key = opt;\\r\\n     if (names.containsKey(opt)) {\\r\\n         key = (String) names.get(opt);\\r\\n     }\\r\\n     if (options.containsKey(key)) {\\r\\n-        List opts = (List) options.get(key);\\r\\n-        Iterator iter = opts.iterator();\\r\\n-        while (iter.hasNext()) {\\r\\n-            Option optt = (Option) iter.next();\\r\\n-            values.addAll(optt.getValuesList());\\r\\n-        }\\r\\n+        return ((Option) options.get(key)).getValues();\\r\\n     }\\r\\n-    return (values.size() == 0) ? null : (String[]) values.toArray(new String[] {});\\r\\n+    return null;\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"@@ -1,12 +1,16 @@\\n public String[] getOptionValues(String opt) {\\r\\n     List values = new java.util.ArrayList();\\r\\n-    if (options.containsKey(opt)) {\\r\\n-        List opts = (List) options.get(opt);\\r\\n+    String key = opt;\\r\\n+    if (names.containsKey(opt)) {\\r\\n+        key = (String) names.get(opt);\\r\\n+    }\\r\\n+    if (options.containsKey(key)) {\\r\\n+        List opts = (List) options.get(key);\\r\\n         Iterator iter = opts.iterator();\\r\\n         while (iter.hasNext()) {\\r\\n             Option optt = (Option) iter.next();\\r\\n             values.addAll(optt.getValuesList());\\r\\n         }\\r\\n     }\\r\\n     return (values.size() == 0) ? null : (String[]) values.toArray(new String[] {});\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"@@ -1,10 +1,12 @@\\n public String[] getOptionValues(String opt) {\\r\\n     List values = new java.util.ArrayList();\\r\\n-    List opts = (List) options.get(opt);\\r\\n-    Iterator iter = opts.iterator();\\r\\n-    while (iter.hasNext()) {\\r\\n-        Option optt = (Option) iter.next();\\r\\n-        values.addAll(optt.getValuesList());\\r\\n+    if (options.containsKey(opt)) {\\r\\n+        List opts = (List) options.get(opt);\\r\\n+        Iterator iter = opts.iterator();\\r\\n+        while (iter.hasNext()) {\\r\\n+            Option optt = (Option) iter.next();\\r\\n+            values.addAll(optt.getValuesList());\\r\\n+        }\\r\\n     }\\r\\n     return (values.size() == 0) ? null : (String[]) values.toArray(new String[] {});\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"@@ -1,3 +1,10 @@\\n public String[] getOptionValues(String opt) {\\r\\n-    return (String[]) ((Option) options.get(opt)).getValues();\\r\\n+    List values = new java.util.ArrayList();\\r\\n+    List opts = (List) options.get(opt);\\r\\n+    Iterator iter = opts.iterator();\\r\\n+    while (iter.hasNext()) {\\r\\n+        Option optt = (Option) iter.next();\\r\\n+        values.addAll(optt.getValuesList());\\r\\n+    }\\r\\n+    return (values.size() == 0) ? null : (String[]) values.toArray(new String[] {});\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"@@ -1,4 +1,3 @@\\n public String[] getOptionValues(String opt) {\\r\\n-    String[] result = (String[]) options.get(opt);\\r\\n-    return result == null ? null : result;\\r\\n+    return (String[]) ((Option) options.get(opt)).getValues();\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"@@ -1,4 +1,4 @@\\n-public String[] getOptionValues(char opt) {\\r\\n-    String[] result = (String[]) options.get(new Character(opt));\\r\\n+public String[] getOptionValues(String opt) {\\r\\n+    String[] result = (String[]) options.get(opt);\\r\\n     return result == null ? null : result;\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"jstrachan@apache.org","authorName":"James Strachan","commitYear":"2002","diff":"\"@@ -0,0 +1,4 @@\\n+public String[] getOptionValues(char opt) {\\r\\n+    String[] result = (String[]) options.get(new Character(opt));\\r\\n+    return result == null ? null : result;\\r\\n+}\\n\\\\ No newline at end of file\\n\""}]
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	getParsedOptionValue	org.apache.commons.cli.CommandLine.getParsedOptionValue(char)	355	357	1	[{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2023","diff":"\"\""},{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2021","diff":"\"\""},{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2021","diff":"\"\""},{"authorEmail":"Krishna.Mohan@capitalone.com","authorName":"Krishna Mohan","commitYear":"2017","diff":"\"\""},{"authorEmail":"ggregory@apache.org","authorName":"Gary D. Gregory","commitYear":"2017","diff":"\"@@ -1,3 +1,3 @@\\n-public Object getParsedOptionValue(char opt) throws ParseException {\\r\\n+public Object getParsedOptionValue(final char opt) throws ParseException {\\r\\n     return getParsedOptionValue(String.valueOf(opt));\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"britter@apache.org","authorName":"Benedikt Ritter","commitYear":"2017","diff":"\"\""},{"authorEmail":"britter@apache.org","authorName":"Benedikt Ritter","commitYear":"2017","diff":"\"@@ -0,0 +1,3 @@\\n+public Object getParsedOptionValue(char opt) throws ParseException {\\r\\n+    return getParsedOptionValue(String.valueOf(opt));\\r\\n+}\\n\\\\ No newline at end of file\\n\""}]
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	getParsedOptionValue	org.apache.commons.cli.CommandLine.getParsedOptionValue(Option)	368	377	5	[{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2023","diff":"\"\""},{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2021","diff":"\"\""},{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2021","diff":"\"\""},{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2021","diff":"\"\""},{"authorEmail":"Krishna.Mohan@capitalone.com","authorName":"Krishna Mohan","commitYear":"2017","diff":"\"\""},{"authorEmail":"ggregory@apache.org","authorName":"Gary D. Gregory","commitYear":"2017","diff":"\"@@ -1,10 +1,10 @@\\n-public Object getParsedOptionValue(Option option) throws ParseException {\\r\\n+public Object getParsedOptionValue(final Option option) throws ParseException {\\r\\n     if (option == null) {\\r\\n         return null;\\r\\n     }\\r\\n     final String res = getOptionValue(option);\\r\\n     if (res == null) {\\r\\n         return null;\\r\\n     }\\r\\n     return TypeHandler.createValue(res, option.getType());\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"ggregory@apache.org","authorName":"Gary D. Gregory","commitYear":"2017","diff":"\"@@ -1,10 +1,10 @@\\n public Object getParsedOptionValue(Option option) throws ParseException {\\r\\n     if (option == null) {\\r\\n         return null;\\r\\n     }\\r\\n-    String res = getOptionValue(option);\\r\\n+    final String res = getOptionValue(option);\\r\\n     if (res == null) {\\r\\n         return null;\\r\\n     }\\r\\n     return TypeHandler.createValue(res, option.getType());\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"britter@apache.org","authorName":"Benedikt Ritter","commitYear":"2017","diff":"\"\""},{"authorEmail":"britter@apache.org","authorName":"Benedikt Ritter","commitYear":"2017","diff":"\"@@ -0,0 +1,10 @@\\n+public Object getParsedOptionValue(Option option) throws ParseException {\\r\\n+    if (option == null) {\\r\\n+        return null;\\r\\n+    }\\r\\n+    String res = getOptionValue(option);\\r\\n+    if (res == null) {\\r\\n+        return null;\\r\\n+    }\\r\\n+    return TypeHandler.createValue(res, option.getType());\\r\\n+}\\n\\\\ No newline at end of file\\n\""}]
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	getParsedOptionValue	org.apache.commons.cli.CommandLine.getParsedOptionValue(String)	388	390	1	[{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2023","diff":"\"\""},{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2021","diff":"\"\""},{"authorEmail":"Krishna.Mohan@capitalone.com","authorName":"Krishna Mohan","commitYear":"2017","diff":"\"\""},{"authorEmail":"ggregory@apache.org","authorName":"Gary D. Gregory","commitYear":"2017","diff":"\"@@ -1,3 +1,3 @@\\n-public Object getParsedOptionValue(String opt) throws ParseException {\\r\\n+public Object getParsedOptionValue(final String opt) throws ParseException {\\r\\n     return getParsedOptionValue(resolveOption(opt));\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"britter@apache.org","authorName":"Benedikt Ritter","commitYear":"2017","diff":"\"@@ -1,8 +1,3 @@\\n public Object getParsedOptionValue(String opt) throws ParseException {\\r\\n-    String res = getOptionValue(opt);\\r\\n-    Option option = resolveOption(opt);\\r\\n-    if (option == null || res == null) {\\r\\n-        return null;\\r\\n-    }\\r\\n-    return TypeHandler.createValue(res, option.getType());\\r\\n+    return getParsedOptionValue(resolveOption(opt));\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"ebourg@apache.org","authorName":"Emmanuel Bourg","commitYear":"2011","diff":"\"@@ -1,9 +1,8 @@\\n public Object getParsedOptionValue(String opt) throws ParseException {\\r\\n     String res = getOptionValue(opt);\\r\\n     Option option = resolveOption(opt);\\r\\n-    if (option == null) {\\r\\n+    if (option == null || res == null) {\\r\\n         return null;\\r\\n     }\\r\\n-    Object type = option.getType();\\r\\n-    return (res == null) ? null : TypeHandler.createValue(res, type);\\r\\n+    return TypeHandler.createValue(res, option.getType());\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"ggregory@apache.org","authorName":"Gary D. Gregory","commitYear":"2010","diff":"\"\""},{"authorEmail":"ebourg@apache.org","authorName":"Emmanuel Bourg","commitYear":"2009","diff":"\"\""},{"authorEmail":"bayard@apache.org","authorName":"Henri Yandell","commitYear":"2009","diff":"\"@@ -0,0 +1,9 @@\\n+public Object getParsedOptionValue(String opt) throws ParseException {\\r\\n+    String res = getOptionValue(opt);\\r\\n+    Option option = resolveOption(opt);\\r\\n+    if (option == null) {\\r\\n+        return null;\\r\\n+    }\\r\\n+    Object type = option.getType();\\r\\n+    return (res == null) ? null : TypeHandler.createValue(res, type);\\r\\n+}\\n\\\\ No newline at end of file\\n\""}]
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	hasOption	org.apache.commons.cli.CommandLine.hasOption(char)	416	418	1	[{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2021","diff":"\"\""},{"authorEmail":"Krishna.Mohan@capitalone.com","authorName":"Krishna Mohan","commitYear":"2017","diff":"\"\""},{"authorEmail":"ggregory@apache.org","authorName":"Gary D. Gregory","commitYear":"2017","diff":"\"@@ -1,3 +1,3 @@\\n-public boolean hasOption(char opt) {\\r\\n+public boolean hasOption(final char opt) {\\r\\n     return hasOption(String.valueOf(opt));\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"roxspring@apache.org","authorName":"Robert James Oxspring","commitYear":"2004","diff":"\"\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"@@ -0,0 +1,3 @@\\n+public boolean hasOption(char opt) {\\r\\n+    return hasOption(String.valueOf(opt));\\r\\n+}\\n\\\\ No newline at end of file\\n\""}]
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	hasOption	org.apache.commons.cli.CommandLine.hasOption(Option)	427	429	1	[{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2021","diff":"\"\""},{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2021","diff":"\"\""},{"authorEmail":"Krishna.Mohan@capitalone.com","authorName":"Krishna Mohan","commitYear":"2017","diff":"\"\""},{"authorEmail":"ggregory@apache.org","authorName":"Gary D. Gregory","commitYear":"2017","diff":"\"@@ -1,3 +1,3 @@\\n-public boolean hasOption(Option opt) {\\r\\n+public boolean hasOption(final Option opt) {\\r\\n     return options.contains(opt);\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"britter@apache.org","authorName":"Benedikt Ritter","commitYear":"2017","diff":"\"\""},{"authorEmail":"britter@apache.org","authorName":"Benedikt Ritter","commitYear":"2017","diff":"\"@@ -0,0 +1,3 @@\\n+public boolean hasOption(Option opt) {\\r\\n+    return options.contains(opt);\\r\\n+}\\n\\\\ No newline at end of file\\n\""}]
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	hasOption	org.apache.commons.cli.CommandLine.hasOption(String)	437	439	1	[{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2021","diff":"\"\""},{"authorEmail":"Krishna.Mohan@capitalone.com","authorName":"Krishna Mohan","commitYear":"2017","diff":"\"\""},{"authorEmail":"ggregory@apache.org","authorName":"Gary D. Gregory","commitYear":"2017","diff":"\"@@ -1,3 +1,3 @@\\n-public boolean hasOption(String opt) {\\r\\n+public boolean hasOption(final String opt) {\\r\\n     return hasOption(resolveOption(opt));\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"britter@apache.org","authorName":"Benedikt Ritter","commitYear":"2017","diff":"\"@@ -1,3 +1,3 @@\\n public boolean hasOption(String opt) {\\r\\n-    return options.contains(resolveOption(opt));\\r\\n+    return hasOption(resolveOption(opt));\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"ebourg@apache.org","authorName":"Emmanuel Bourg","commitYear":"2008","diff":"\"\""},{"authorEmail":"bayard@apache.org","authorName":"Henri Yandell","commitYear":"2007","diff":"\"@@ -1,3 +1,3 @@\\n public boolean hasOption(String opt) {\\r\\n-    return options.containsKey(opt);\\r\\n+    return options.contains(resolveOption(opt));\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"roxspring@apache.org","authorName":"Robert James Oxspring","commitYear":"2004","diff":"\"\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"@@ -1,3 +1,3 @@\\n-public boolean hasOption(char opt) {\\r\\n-    return options.containsKey(new Character(opt));\\r\\n+public boolean hasOption(String opt) {\\r\\n+    return options.containsKey(opt);\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"jstrachan@apache.org","authorName":"James Strachan","commitYear":"2002","diff":"\"@@ -0,0 +1,3 @@\\n+public boolean hasOption(char opt) {\\r\\n+    return options.containsKey(new Character(opt));\\r\\n+}\\n\\\\ No newline at end of file\\n\""}]
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	iterator	org.apache.commons.cli.CommandLine.iterator()	446	448	1	[{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2021","diff":"\"\""},{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2021","diff":"\"\""},{"authorEmail":"Krishna.Mohan@capitalone.com","authorName":"Krishna Mohan","commitYear":"2017","diff":"\"\""},{"authorEmail":"simonetripodi@apache.org","authorName":"Simone Tripodi","commitYear":"2011","diff":"\"@@ -1,3 +1,3 @@\\n-public Iterator iterator() {\\r\\n+public Iterator<Option> iterator() {\\r\\n     return options.iterator();\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"ebourg@apache.org","authorName":"Emmanuel Bourg","commitYear":"2008","diff":"\"\""},{"authorEmail":"bayard@apache.org","authorName":"Henri Yandell","commitYear":"2007","diff":"\"@@ -1,3 +1,3 @@\\n public Iterator iterator() {\\r\\n-    return hashcodeMap.values().iterator();\\r\\n+    return options.iterator();\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"roxspring@apache.org","authorName":"Robert James Oxspring","commitYear":"2004","diff":"\"\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"@@ -1,3 +1,3 @@\\n public Iterator iterator() {\\r\\n-    return options.values().iterator();\\r\\n+    return hashcodeMap.values().iterator();\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"@@ -0,0 +1,3 @@\\n+public Iterator iterator() {\\r\\n+    return options.values().iterator();\\r\\n+}\\n\\\\ No newline at end of file\\n\""}]
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	resolveOption	org.apache.commons.cli.CommandLine.resolveOption(String)	456	466	6	[{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2023","diff":"\"@@ -1,9 +1,11 @@\\n-private Option resolveOption(String opt) {\\r\\n-    opt = Util.stripLeadingHyphens(opt);\\r\\n-    for (final Option option : options) {\\r\\n-        if (opt.equals(option.getOpt()) || opt.equals(option.getLongOpt())) {\\r\\n-            return option;\\r\\n+private Option resolveOption(final String opt) {\\r\\n+    final String actual = Util.stripLeadingHyphens(opt);\\r\\n+    if (actual != null) {\\r\\n+        for (final Option option : options) {\\r\\n+            if (actual.equals(option.getOpt()) || actual.equals(option.getLongOpt())) {\\r\\n+                return option;\\r\\n+            }\\r\\n         }\\r\\n     }\\r\\n     return null;\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2021","diff":"\"@@ -1,12 +1,9 @@\\n private Option resolveOption(String opt) {\\r\\n     opt = Util.stripLeadingHyphens(opt);\\r\\n     for (final Option option : options) {\\r\\n-        if (opt.equals(option.getOpt())) {\\r\\n-            return option;\\r\\n-        }\\r\\n-        if (opt.equals(option.getLongOpt())) {\\r\\n+        if (opt.equals(option.getOpt()) || opt.equals(option.getLongOpt())) {\\r\\n             return option;\\r\\n         }\\r\\n     }\\r\\n     return null;\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2021","diff":"\"\""},{"authorEmail":"Krishna.Mohan@capitalone.com","authorName":"Krishna Mohan","commitYear":"2017","diff":"\"\""},{"authorEmail":"ggregory@apache.org","authorName":"Gary D. Gregory","commitYear":"2017","diff":"\"@@ -1,12 +1,12 @@\\n private Option resolveOption(String opt) {\\r\\n     opt = Util.stripLeadingHyphens(opt);\\r\\n-    for (Option option : options) {\\r\\n+    for (final Option option : options) {\\r\\n         if (opt.equals(option.getOpt())) {\\r\\n             return option;\\r\\n         }\\r\\n         if (opt.equals(option.getLongOpt())) {\\r\\n             return option;\\r\\n         }\\r\\n     }\\r\\n     return null;\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"ebourg@apache.org","authorName":"Emmanuel Bourg","commitYear":"2011","diff":"\"\""},{"authorEmail":"ebourg@apache.org","authorName":"Emmanuel Bourg","commitYear":"2011","diff":"\"@@ -1,13 +1,12 @@\\n private Option resolveOption(String opt) {\\r\\n     opt = Util.stripLeadingHyphens(opt);\\r\\n-    for (Iterator it = options.iterator(); it.hasNext(); ) {\\r\\n-        Option option = (Option) it.next();\\r\\n+    for (Option option : options) {\\r\\n         if (opt.equals(option.getOpt())) {\\r\\n             return option;\\r\\n         }\\r\\n         if (opt.equals(option.getLongOpt())) {\\r\\n             return option;\\r\\n         }\\r\\n     }\\r\\n     return null;\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"ebourg@apache.org","authorName":"Emmanuel Bourg","commitYear":"2008","diff":"\"\""},{"authorEmail":"bayard@apache.org","authorName":"Henri Yandell","commitYear":"2007","diff":"\"@@ -0,0 +1,13 @@\\n+private Option resolveOption(String opt) {\\r\\n+    opt = Util.stripLeadingHyphens(opt);\\r\\n+    for (Iterator it = options.iterator(); it.hasNext(); ) {\\r\\n+        Option option = (Option) it.next();\\r\\n+        if (opt.equals(option.getOpt())) {\\r\\n+            return option;\\r\\n+        }\\r\\n+        if (opt.equals(option.getLongOpt())) {\\r\\n+            return option;\\r\\n+        }\\r\\n+    }\\r\\n+    return null;\\r\\n+}\\n\\\\ No newline at end of file\\n\""}]
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLineParser.java	parse	org.apache.commons.cli.CommandLineParser.parse(Options, String[])	35	35	1	[]
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLineParser.java	parse	org.apache.commons.cli.CommandLineParser.parse(Options, String[], boolean)	65	65	1	[]
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	build	org.apache.commons.cli.Builder.build()	69	71	1	[{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2021","diff":"\"\""},{"authorEmail":"stoty@apache.org","authorName":"Istvan Toth","commitYear":"2021","diff":"\"@@ -0,0 +1,3 @@\\n+public DefaultParser build() {\\r\\n+    return new DefaultParser(allowPartialMatching, stripLeadingAndTrailingQuotes);\\r\\n+}\\n\\\\ No newline at end of file\\n\""}]
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\DefaultParser.java	setAllowPartialMatching	org.apache.commons.cli.Builder.setAllowPartialMatching(boolean)	95	98	1	[{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2021","diff":"\"\""},{"authorEmail":"stoty@apache.org","authorName":"Istvan Toth","commitYear":"2021","diff":"\"@@ -0,0 +1,4 @@\\n+public Builder setAllowPartialMatching(final boolean allowPartialMatching) {\\r\\n+    this.allowPartialMatching = allowPartialMatching;\\r\\n+    return this;\\r\\n+}\\n\\\\ No newline at end of file\\n\""}]
